mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_20,mfccs_21,mfccs_22,mfccs_23,mfccs_24,mfccs_25,mfccs_26,mfccs_27,mfccs_28,mfccs_29,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,source,label
-251.43163,144.38977,-47.2639,14.340596,47.115425,52.957775,-6.8731437,3.2141762,12.91163,6.012622,10.6532,21.605724,-10.46089,-8.233143,-5.287434,-5.708136,-7.3796387,0.49046886,9.400811,-14.594217,-7.73744,-10.143146,3.2876449,-10.329288,-4.576026,0.8823417,-8.048509,-5.4963536,-10.538853,-0.55452293,1927.3420938636737,2316.2349047409934,3091.819454479769,0.36266008,HMRS_Scam.mp3,0
-218.4614,167.39577,-48.986107,14.708408,38.293476,41.243683,-10.947186,2.4425101,7.7779713,-0.015202428,3.0476356,11.831018,-7.524952,-1.6406472,-7.8239565,-11.54335,-4.9128604,2.7856278,8.453424,-13.956595,-11.585727,-12.518196,4.26823,-7.1042256,-3.0481296,0.3984879,-8.391073,-5.988258,-10.176786,0.1022147,1765.2624418937644,2117.525396776282,2894.908891799133,0.42145693,HMRS_Scam.mp3,0
-203.2004,165.59776,-47.377316,18.339943,40.113167,37.320904,-12.044419,-0.6278152,4.0167556,-1.7232959,0.51517904,8.484767,-10.422043,-2.856349,-5.61802,-10.273048,-8.140955,2.397053,11.869705,-11.353865,-9.86622,-11.621991,4.8210406,-8.578424,-4.7102456,1.4060893,-6.2315216,-5.0637136,-11.484639,2.0198827,1794.7294615916985,2083.475625561435,2926.524114884393,0.45422882,HMRS_Scam.mp3,0
-384.34082,82.443535,-24.543741,4.2026787,14.561443,13.95616,-4.865851,4.6432395,6.241821,-2.1136699,3.4360843,9.505633,-0.5825774,0.8767518,-0.7914726,-2.6257937,-3.4221234,1.8143716,5.4094234,-6.253104,-5.3564014,-6.0252514,0.00028151585,-5.762446,-1.3134228,1.4944352,-4.1854196,-1.9222068,-4.3065276,-0.58818686,1083.9101035370131,1243.000404456341,1914.9614455382948,0.4775588,HMRS_Scam.mp3,0
-238.29236,161.95845,-44.638096,9.292333,28.99737,33.07751,-7.095061,8.803786,14.558902,4.4463367,9.802517,9.088482,-11.18631,0.67963606,-6.814074,-6.6508675,0.17095263,5.4254293,4.332319,-18.717903,-7.547081,-4.7203913,4.328677,-10.287021,-5.9066634,-3.136504,-10.31794,-7.571632,-10.092217,1.3490438,1813.798032462103,2193.277072015673,3210.0653675939307,0.4045221,HMRS_Scam.mp3,0
-202.61574,179.8372,-55.206844,-4.438528,37.65416,35.636356,-14.923063,3.335755,14.8241625,2.3920054,8.76224,11.4344845,-16.309937,-4.416717,-3.8764024,-2.5959997,-0.6956732,5.2419806,6.163993,-21.801577,-11.813445,-5.1681013,8.300009,-7.789692,-5.130864,-0.9688396,-10.467888,-7.416872,-9.630983,1.9942822,1753.407062944121,1906.2696017191713,2764.96285675578,0.42139235,HMRS_Scam.mp3,0
-195.95667,168.18988,-56.147194,7.005326,33.968513,29.566734,-15.125947,1.1247658,17.375708,5.351315,11.433497,8.434416,-17.283922,-2.9348242,-5.513684,-3.0804098,2.3434641,4.048141,3.0277991,-18.825155,-10.619102,-5.067145,7.229319,-7.474518,-4.349418,0.39289618,-7.706518,-5.771355,-7.212555,4.7617083,1853.467279024213,1998.266441307614,2895.53123871026,0.39528126,HMRS_Scam.mp3,0
-239.66374,156.30588,-38.02204,16.485744,27.917479,36.061573,-9.642141,9.761861,15.898923,11.05663,8.879199,12.305334,-9.78296,-2.376042,-6.6692104,-4.7442026,-0.2692613,2.4281778,4.5195117,-22.25823,-9.288962,-4.6598597,6.678564,-9.984467,-3.8914287,-0.7562804,-11.82189,-8.642104,-8.558038,3.6530585,1750.3838640089357,2422.640552663108,2973.573541365607,0.39855176,HMRS_Scam.mp3,0
-217.85693,161.1418,-56.402077,18.225786,46.259354,44.93553,-9.194124,2.4876661,12.327538,1.0225502,4.2153826,11.48364,-15.552351,-5.152225,-6.5952163,-6.8036857,-6.248303,0.77137816,10.754816,-15.053352,-11.591977,-8.860125,11.03629,-7.644767,-7.406377,0.18639308,-6.0312247,-5.119811,-13.357134,1.670751,1837.0600414707653,2088.031229633897,2979.9214798591042,0.3928002,HMRS_Scam.mp3,0
-200.45815,172.18387,-62.21595,9.897185,35.1757,39.80779,-11.383682,-4.235918,8.78727,3.0504115,7.6315923,9.56969,-12.129801,0.89691126,-6.1071553,-12.50801,-5.8148212,3.4088314,8.901853,-14.239853,-14.159806,-9.835594,9.523037,-7.3085756,-5.702178,-0.22543578,-7.8834715,-8.8032055,-13.128427,0.850025,1836.3830684981285,1924.063944440241,2803.5483652456646,0.40677738,HMRS_Scam.mp3,0
